Équipe,Nombre de membres,Nombre de compagnons,Nombre de divisions,Divisions,Nombre de paires inviteur-invité,Écart moyen paires
Team_32,8,4,7,"BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Transport, Villes & Territoires Connectés",1,0
Team_33,8,4,7,"BIS Grand Ouest, BIS Grand Sud, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Industries des Procédés, MBU CEDE, Villes & Territoires Connectés",1,0
Team_34,8,4,7,"BIS Grand Ouest, BIS Grand Sud, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Infra Ener, Défense Marine Aéronautique, Ingénierie, MBU CEDE, Villes & Territoires Connectés",1,0
Team_35,8,4,7,"BIS Direction Ressources Humaines, BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Communication, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_36,8,4,6,"BIS Grand Ouest, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
Team_37,8,4,7,"BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Infra Ener, Défense Marine Aéronautique, Ingénierie, MBU CEDE, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
Team_38,8,3,7,"BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Communication, Equans France Direction Ressources Humaines, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation",1,0
Team_39,8,4,7,"BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Industries des Procédés, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
Team_40,8,4,7,"BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Ressources Humaines, Industries des Procédés, MBU CEDE, Réfrigération, Sécurité Incendie & Décarbonation, Transport",1,0
Team_41,8,3,7,"BIS Grand Ouest, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Ressources Humaines, Infra Ener, Défense Marine Aéronautique, Ingénierie, Réfrigération, Sécurité Incendie & Décarbonation, Villes & Territoires Connectés",1,0
Team_42,8,4,7,"BIS Grand Ouest, BIS Grand Sud, BIS Ile de France, BIS Nord & Est, BIS Services Bâtiments & Infrastructures, Infra Ener, Défense Marine Aéronautique, Ingénierie, MBU CEDE",1,0
Team_43,8,3,7,"BIS Grand Sud, BIS Ile de France, BIS Services Bâtiments & Infrastructures, Equans France Direction Ressources Humaines, Industries des Procédés, Infra Ener, Défense Marine Aéronautique, Ingénierie, MBU CEDE",1,0
