Id,Division,IsCompagnons,GuestId,Team
e7e4826763ae24cea55e8e25054958d4d3f246e7d07dbaa042f145607f48fb83,BIS Services Bâtiments & Infrastructures,NON,,
24802e7c9dbd447d3ecc022dc91bf4c90c20beadf4e0a1fe789213aca0a063e3,Equans Groupe,NON,,
8ff39f825abf07aefaaf3e9138d921c9399136c757ea81bb1d83561aa6edb618,,,,
62c0a91463f97f88a576bdfb2aae57aaf211c08f10e0830dc32ff2f0977f5d59,,,,
370198e86e9db28cd81f586d7520b94d13f13884aa3c4d21faabebe2b4045ddc,,,,
97e40a8211cd38c0d064c5c75db8f4d45792829655b8d23b34d640f7c74e5d1f,,,,
36f765a72ae1355feb1d940575a1f21837dc749b341af206aa756b8863e324f6,,,,
a1f55a32b7fe3ff67b3f48362fc9e65bcc39f5cdb5d7d40b7d1de7cd26db2249,,,,
ed271025941973b5105bd328bf53071e366fd9e8dc0537c05d3ea69dc4d5ae9a,BIS Grand Ouest,OUI,a1f55a32b7fe3ff67b3f48362fc9e65bcc39f5cdb5d7d40b7d1de7cd26db2249,
0a6089253fb62c43e02214be19b10133d3198dc7447edb58f94bfb06d7780b51,BIS Ile de France,OUI,8ff39f825abf07aefaaf3e9138d921c9399136c757ea81bb1d83561aa6edb618,
aa30b729db0d847b4fe3c1db13072ca47e63f3f4e451d46124284c8121194f16,BIS Services Bâtiments & Infrastructures,OUI,370198e86e9db28cd81f586d7520b94d13f13884aa3c4d21faabebe2b4045ddc,
2534c3becef04c55c24444474858105f1df26cf0f9932a472b337adcaebadb0b,BIS Grand Sud,OUI,7a685ec98156a5a8b77865c3abdf7d7c66a6c37f23e4ed5eeffc1ef8a38b80fe,
3fa9cc3197cef11012ed5604a4176f356997a506a73065e5474e4db2759c109e,BIS Services Bâtiments & Infrastructures,OUI,97e40a8211cd38c0d064c5c75db8f4d45792829655b8d23b34d640f7c74e5d1f,
503d8d1fb3877a56dac88de8eaab640e25712b2097376acdd1eb4c243053a462,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,36f765a72ae1355feb1d940575a1f21837dc749b341af206aa756b8863e324f6,
05230d4bc6535d708de940d073dfcf613838460f07b5e00fd8ac3bca34984e14,Villes & Territoires Connectés,NON,,
b5282eb3b8228700b4cb9fc9dd0f9765fc33a3c2b9b700b726efc2b0ce18b497,BIS Ile de France,NON,,
429177d472545ffec8a503db4cd1bbed70cd788706121bd8194f3cbfec5bc1df,Equans Digital,NON,,
ef753cdfeeb4d11eba4e81b2caf3f7f5d80937de859f452524a6a274d7f0304c,BIS Services Bâtiments & Infrastructures,NON,,
102aaa8c60a648d4d22246ad1dd381028e8c4d83e3602150ded603686f6d15c6,BIS Grand Sud,NON,,
65d571b86a480136b4dfc4739c50028b0b1aad3748433c0a86813e0e310cd50f,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
